elapsed_s,lat_deg,lon_deg,yaw_rad,speed_mps,depth_m,alt_asf_m,wall_utc_s,yaw_rate_rps,vel_north_mps,vel_east_mps,vel_down_mps,vel_age_s,waypoint_index,cross_track_error_m,distance_to_waypoint_m,distance_remaining_m,cumulative_distance_m,waypoints_remaining,exec_age_s
4.044043906,39.00006688,-76.5,-1.263445967e-12,3,0,60,1785408823.0818868,-1.532210677e-12,3,-3.790337902e-12,0,4.6484e-05,0,2.179618072e-10,92.72506298,951.9999986,7.274937005,8,3.9304e-05
4.094633378,39.00006824,-76.5,-1.332610083e-12,3,0,60,1785408823.1324713,-1.377806061e-12,3,-3.99783025e-12,0,0.00017103,0,2.982816355e-11,92.57534457,951.9999986,7.424655417,8,0.000166241
4.145433745,39.00006959,-76.5,-1.374491931e-12,3,0,60,1785408823.1832597,-8.37615991e-13,3,-4.123475792e-12,0,4.3197e-05,0,-5.436990257e-11,92.42474838,951.9999986,7.575251608,8,3.7086e-05
4.19597508,39.00007094,-76.5,-1.421124343e-12,3,0,60,1785408823.233783,-9.329690926e-13,3,-4.263373029e-12,0,3.9213e-05,0,1.669359346e-10,92.12479621,951.9999986,7.875203777,8,3.4333e-05
4.246459485,39.00007228,-76.5,-1.493923476e-12,3,0,60,1785408823.284291,-1.46158533e-12,3,-4.481770428e-12,0,4.3368e-05,0,1.669359346e-10,92.12479621,951.9999986,7.875203777,8,0.050545388
4.297028775,39.00007364,-76.5,-1.552770658e-12,3,0,60,1785408823.3348465,-1.17184341e-12,3,-4.658311975e-12,0,4.3398e-05,0,-2.363420685e-11,91.82471835,951.9999986,8.175281633,8,3.6914e-05
4.347573333,39.00007499,-76.5,-1.591501087e-12,3,0,60,1785408823.3854046,-7.780514343e-13,3,-4.774503261e-12,0,5.8552e-05,0,6.437733216e-11,91.6753821,951.9999986,8.324617886,8,5.4136e-05
4.39813043,39.00007634,-76.5,-1.633056231e-12,3,0,60,1785408823.4359441,-8.280494216e-13,3,-4.899168692e-12,0,3.9858e-05,0,2.804042844e-11,91.52482897,951.9999986,8.475171014,8,3.394e-05
4.448391434,39.00007769,-76.5,-1.66804489e-12,3,0,60,1785408823.486207,-6.995577534e-13,3,-5.00413467e-12,0,4.4043e-05,0,7.926479257e-11,91.37478278,951.9999986,8.625217208,8,3.8115e-05
4.498949896,39.00007904,-76.5,-1.709014268e-12,3,0,60,1785408823.5368047,-8.199735544e-13,3,-5.127042803e-12,0,6.2465e-05,0,5.103844724e-11,91.22488998,951.9999986,8.775110009,8,5.6505e-05
