lat_deg,lon_deg,s_m,kappa_1pm,az_rad,leg_index
39.00187361,-76.49953823,782.1181261,0,-2.053512915e-10,5
39.00189163,-76.49953823,784.1181261,0,-2.053512915e-10,5
39.00190964,-76.49953823,786.1181261,0,-2.053512915e-10,5
39.00192766,-76.49953823,788.1181261,0,-2.053512915e-10,5
39.00194567,-76.49953823,790.1181261,0,-2.053512915e-10,5
39.00196369,-76.49953823,792.1181261,0,-2.053512915e-10,5
39.0019817,-76.49953823,794.1181261,0,-2.053512915e-10,5
39.00199972,-76.49953823,796.1181261,0,-2.053512915e-10,5
39.00201774,-76.49953823,798.1181261,0,-2.053512915e-10,5
39.00203575,-76.49953823,800.1181261,0,-2.053512915e-10,5
39.00205377,-76.49953823,802.1181261,0,-2.053512915e-10,5
39.00207178,-76.49953823,804.1181261,0,-2.053512915e-10,5
39.0020898,-76.49953823,806.1181261,0,-2.053512915e-10,5
39.00210781,-76.49953823,808.1181261,0,-2.053512915e-10,5
39.00212583,-76.49953823,810.1181261,0,-2.053512915e-10,5
39.00214384,-76.49953823,812.1181261,0,-2.053512915e-10,5
39.00216186,-76.49953823,814.1181261,0,-2.053512915e-10,5
39.00217987,-76.49953823,816.1181261,0,-2.053512915e-10,5
39.00219789,-76.49953823,818.1181261,0,-2.053512915e-10,5
39.00221591,-76.49953823,820.1181261,0,-2.053512915e-10,5
39.00223392,-76.49953823,822.1181261,0,-2.053512915e-10,5
39.00225194,-76.49953823,824.1181261,0,-2.053512915e-10,5
39.00226995,-76.49953823,826.1181261,0,-2.053512915e-10,5
39.00228797,-76.49953823,828.1181261,0,-2.053512915e-10,5
39.00230598,-76.49953823,830.1181261,0,-2.053512915e-10,5
39.002324,-76.49953823,832.1181261,0,-2.053512915e-10,5
39.00234201,-76.49953823,834.1181261,0,-2.053512915e-10,5
39.00236003,-76.49953823,836.1181261,0,-2.053512915e-10,5
39.00237805,-76.49953823,838.1181261,0,-2.053512915e-10,5
39.00239606,-76.49953823,840.1181261,0,-2.053512915e-10,5
39.00241408,-76.49953823,842.1181261,0,-2.053512915e-10,5
39.00243209,-76.49953823,844.1181261,0,-2.053512915e-10,5
39.00245011,-76.49953823,846.1181261,0,-2.053512915e-10,5
39.00246812,-76.49953823,848.1181261,0,-2.053512915e-10,5
39.00248614,-76.49953823,850.1181261,0,-2.053512915e-10,5
39.00250415,-76.49953823,852.1181261,0,-2.053512915e-10,5
39.00252217,-76.49953823,854.1181261,0,-2.053512915e-10,5
39.00254018,-76.49953823,856.1181261,0,-2.053512915e-10,5
39.0025582,-76.49953823,858.1181261,0,-2.053512915e-10,5
39.00257622,-76.49953823,860.1181261,0,-8.881784197e-16,5
39.00259423,-76.49953823,862.1181261,0,-8.881784197e-16,5
39.00261225,-76.49953823,864.1181261,0,-8.881784197e-16,5
39.00263026,-76.49953823,866.1181261,0,-8.881784197e-16,5
39.00264828,-76.49953823,868.1181261,0,-8.881784197e-16,5
39.00266629,-76.49953823,870.1181261,0,-8.881784197e-16,5
39.00268431,-76.49953823,872.1181261,0,-8.881784197e-16,5
39.00270232,-76.49953823,874.1181258,0,-8.881784197e-16,5
39.00270232,-76.49953823,874.1181258,0.06981333333,0,6
39.00272028,-76.49953984,876.1181258,0.06981333333,-0.1396266667,6
39.00273789,-76.49954463,878.1181258,0.06981333333,-0.2792533333,6
39.0027548,-76.49955253,880.1181258,0.06981333333,-0.41888,6
39.0027707,-76.49956336,882.1181258,0.06981333333,-0.5585066667,6
39.00278526,-76.49957692,884.1181258,0.06981333333,-0.6981333333,6
39.00279862,-76.4995924,886.1181258,-0.06981333333,-0.703083345,6
39.00281313,-76.49960606,888.1181258,-0.06981333333,-0.5634566784,6
39.00282898,-76.49961699,890.1181258,-0.06981333333,-0.4238300117,6
39.00284586,-76.49962498,892.1181258,-0.06981333333,-0.284203345,6
39.00286345,-76.49962989,894.1181258,-0.06981333333,-0.1445766784,6
39.0028814,-76.49963162,896.1181258,-0.06981333333,-0.004950011684,6
39.00289937,-76.49963012,898.1181258,-0.06981333333,0.134676655,6
39.00291699,-76.49962544,900.1181258,-0.06981333333,0.2743033216,6
